Model,Hardware,Workbook_Root,Log_Root,Prediction_Workbook,Model_IO_Workbook,Replay_Log_File,Replay_Log_Path,Field_Log_File,Field_Log_Path,Critical_Input_Status,Raw_Tensor_Status,Decoded_Raw_Status,Postprocessed_Status,Predictions_2dp,Latest_Metrics_4dp,Prediction_T_Matches,Prediction_H_Matches,Replay_Invoke_Energy_uWh_Mean,Replay_Event_Energy_uWh_Mean,Replay_Invoke_Time_ms_Mean,Replay_Event_Time_ms_Mean,Replay_Minimum_Free_Heap_kB,Replay_Idle_Voltage_V_Mean,Replay_Idle_Current_mA_Mean,Replay_Idle_Power_mW_Mean,Replay_Model_Flash_kB,Replay_Tensor_Arena_kB,Replay_Total_Footprint_kB,Field_Invoke_Energy_uWh_Mean,Field_Event_Energy_uWh_Mean,Field_Invoke_Time_ms_Mean,Field_Event_Time_ms_Mean,Field_Minimum_Free_Heap_kB,Field_Idle_Voltage_V_Mean,Field_Idle_Current_mA_Mean,Field_Idle_Power_mW_Mean,Field_Model_Flash_kB,Field_Tensor_Arena_kB,Field_Total_Footprint_kB,Model_Flash_kB,Tensor_Arena_kB,Total_Footprint_kB,Memory_Consistency
MLP,WEMOS LOLIN32,utils/workbook_mlp,firmwares/environment_mlp/PlatfIO_mlp/logs,utils/workbook_mlp/esp32/replay/predictions_metrics_vs_log_comparison_mlp_esp32_replay.xlsx,utils/workbook_mlp/esp32/replay/model_io_comparison_mlp_esp32_replay.xlsx,device-monitor-260725-090646.log,firmwares/environment_mlp/PlatfIO_mlp/logs/device-monitor-260725-090646.log,device-monitor-260725-123210.log,firmwares/environment_mlp/PlatfIO_mlp/logs/device-monitor-260725-123210.log,MATCH,MATCH,MATCH,MATCH,T=24/24; H=24/24,8/9,24/24 (100.00%),24/24 (100.00%),0.164542,6.065625,1.077083,62.676667,238.7,5.114168,61.82822,316.13864,6.46,0.91,7.37,0.146333,0.367333,1.064708,4.030458,239.0,5.127017,60.617818,310.749018,6.46,0.91,7.37,6.46,0.91,7.37,MATCH
MLP,NUCLEO-F411RE,utils/workbook_mlp,firmwares/environment_mlp/PlatfIO_mlp/logs,utils/workbook_mlp/stm32f411re/replay/predictions_metrics_vs_log_comparison_mlp_stm32f411re_replay.xlsx,utils/workbook_mlp/stm32f411re/replay/model_io_comparison_mlp_stm32f411re_replay.xlsx,device-monitor-260727-170448.log,firmwares/environment_mlp/PlatfIO_mlp/logs/device-monitor-260727-170448.log,device-monitor-260727-205824.log,firmwares/environment_mlp/PlatfIO_mlp/logs/device-monitor-260727-205824.log,MATCH,MATCH,MATCH,MATCH,T=24/24; H=24/24,8/9,24/24 (100.00%),24/24 (100.00%),0.181375,2.606708,1.0265,34.753042,102.2,4.902711,55.123185,270.289333,6.46,0.89,7.36,0.194875,0.48275,1.038708,6.027292,103.3,4.92871,58.123037,286.427219,6.46,0.89,7.36,6.46,0.89,7.36,MATCH
LSTM,WEMOS LOLIN32,utils/workbook_lstm,firmwares/environment_lstm/PlatfIO_lstm/logs,utils/workbook_lstm/esp32/replay/predictions_metrics_vs_log_comparison_lstm_esp32_replay.xlsx,utils/workbook_lstm/esp32/replay/model_io_comparison_lstm_esp32_replay.xlsx,device-monitor-260725-100758.log,firmwares/environment_lstm/PlatfIO_lstm/logs/device-monitor-260725-100758.log,device-monitor-260725-142952.log,firmwares/environment_lstm/PlatfIO_lstm/logs/device-monitor-260725-142952.log,MATCH,MISMATCH,MISMATCH,MISMATCH,T=21/24; H=23/24,1/9,21/24 (87.50%),23/24 (95.83%),1.376292,6.905333,14.040917,72.144583,238.7,5.118958,61.8767,316.687771,9.46,3.42,12.88,1.309125,1.557042,13.844625,17.048792,239.3,5.130618,60.136873,308.491564,9.46,3.42,12.88,9.46,3.42,12.88,MATCH
LSTM,NUCLEO-F411RE,utils/workbook_lstm,firmwares/environment_lstm/PlatfIO_lstm/logs,utils/workbook_lstm/stm32f411re/replay/predictions_metrics_vs_log_comparison_lstm_stm32f411re_replay.xlsx,utils/workbook_lstm/stm32f411re/replay/model_io_comparison_lstm_stm32f411re_replay.xlsx,device-monitor-260727-180657.log,firmwares/environment_lstm/PlatfIO_lstm/logs/device-monitor-260727-180657.log,device-monitor-260728-070726.log,firmwares/environment_lstm/PlatfIO_lstm/logs/device-monitor-260728-070726.log,MATCH,MISMATCH,MISMATCH,MISMATCH,T=21/24; H=23/24,1/9,21/24 (87.50%),23/24 (95.83%),1.909917,4.691458,25.456667,65.688125,102.2,4.934972,51.575037,254.474519,9.46,3.41,12.87,2.134167,2.422042,25.481833,30.517667,103.3,4.931525,57.950697,285.771753,9.46,3.41,12.87,9.46,3.41,12.87,MATCH
Conv1D Tiny,WEMOS LOLIN32,utils/workbook_Conv1D_Tiny,firmwares/environment_Conv1D_Tiny/PlatfIO_Conv1D_Tiny/logs,utils/workbook_Conv1D_Tiny/esp32/replay/predictions_metrics_vs_log_comparison_Conv1D_Tiny_esp32_replay.xlsx,utils/workbook_Conv1D_Tiny/esp32/replay/model_io_comparison_Conv1D_Tiny_esp32_replay.xlsx,device-monitor-260725-111032.log,firmwares/environment_Conv1D_Tiny/PlatfIO_Conv1D_Tiny/logs/device-monitor-260725-111032.log,device-monitor-260725-152233.log,firmwares/environment_Conv1D_Tiny/PlatfIO_Conv1D_Tiny/logs/device-monitor-260725-152233.log,MATCH,MATCH,MATCH,MATCH,T=24/24; H=24/24,9/9,24/24 (100.00%),24/24 (100.00%),0.605167,8.84025,5.885375,93.216333,238.7,5.121279,60.752315,311.068958,7.12,2.59,9.72,0.573,0.8125,5.722667,8.915542,239.0,5.129681,59.897673,307.225818,7.12,2.59,9.72,7.12,2.59,9.72,MATCH
Conv1D Tiny,NUCLEO-F411RE,utils/workbook_Conv1D_Tiny,firmwares/environment_Conv1D_Tiny/PlatfIO_Conv1D_Tiny/logs,utils/workbook_Conv1D_Tiny/stm32f411re/replay/predictions_metrics_vs_log_comparison_Conv1D_Tiny_stm32f411re_replay.xlsx,utils/workbook_Conv1D_Tiny/stm32f411re/replay/model_io_comparison_Conv1D_Tiny_stm32f411re_replay.xlsx,device-monitor-260727-185942.log,firmwares/environment_Conv1D_Tiny/PlatfIO_Conv1D_Tiny/logs/device-monitor-260727-185942.log,device-monitor-260727-233942.log,firmwares/environment_Conv1D_Tiny/PlatfIO_Conv1D_Tiny/logs/device-monitor-260727-233942.log,MATCH,MATCH,MATCH,MATCH,T=24/24; H=24/24,9/9,24/24 (100.00%),24/24 (100.00%),0.598167,5.465833,6.54525,72.092042,102.2,4.899769,55.519778,272.066593,7.12,2.56,9.69,0.628125,0.918125,6.56275,11.600708,103.3,4.933529,57.780044,285.068599,7.12,2.56,9.69,7.12,2.56,9.69,MATCH
