Model,Hardware,Shared data pipeline,"Critical input (x*, p*)",Raw tensor dump,Immediate raw output (o_raw),Final prediction (y*),Predictions (2 decimals),Latest metrics (4 decimals)
MLP,WEMOS LOLIN32,MATCH,MATCH,MATCH,MATCH,MATCH,T=24/24; H=24/24,8/9
MLP,NUCLEO-F411RE,MATCH,MATCH,MATCH,MATCH,MATCH,T=24/24; H=24/24,8/9
LSTM,WEMOS LOLIN32,MATCH,MATCH,MISMATCH,MISMATCH,MISMATCH,T=21/24; H=23/24,1/9
LSTM,NUCLEO-F411RE,MATCH,MATCH,MISMATCH,MISMATCH,MISMATCH,T=21/24; H=23/24,1/9
Conv1D Tiny,WEMOS LOLIN32,MATCH,MATCH,MATCH,MATCH,MATCH,T=24/24; H=24/24,9/9
Conv1D Tiny,NUCLEO-F411RE,MATCH,MATCH,MATCH,MATCH,MATCH,T=24/24; H=24/24,9/9
