model,hardware,project_dir,environment,experiment_port,build_command,upload_command
MLP,WEMOS LOLIN32,firmwares/environment_mlp/PlatfIO_mlp,lolin32_mlp,COM6,pio run -d firmwares/environment_mlp/PlatfIO_mlp -e lolin32_mlp,pio run -d firmwares/environment_mlp/PlatfIO_mlp -e lolin32_mlp -t upload
MLP,NUCLEO-F411RE,firmwares/environment_mlp/PlatfIO_mlp,nucleo_f411re_mlp,COM8,pio run -d firmwares/environment_mlp/PlatfIO_mlp -e nucleo_f411re_mlp,pio run -d firmwares/environment_mlp/PlatfIO_mlp -e nucleo_f411re_mlp -t upload
Conv1D Tiny,WEMOS LOLIN32,firmwares/environment_Conv1D_Tiny/PlatfIO_Conv1D_Tiny,lolin32_Conv1D_Tiny,COM6,pio run -d firmwares/environment_Conv1D_Tiny/PlatfIO_Conv1D_Tiny -e lolin32_Conv1D_Tiny,pio run -d firmwares/environment_Conv1D_Tiny/PlatfIO_Conv1D_Tiny -e lolin32_Conv1D_Tiny -t upload
Conv1D Tiny,NUCLEO-F411RE,firmwares/environment_Conv1D_Tiny/PlatfIO_Conv1D_Tiny,nucleo_f411re_Conv1D_Tiny,COM8,pio run -d firmwares/environment_Conv1D_Tiny/PlatfIO_Conv1D_Tiny -e nucleo_f411re_Conv1D_Tiny,pio run -d firmwares/environment_Conv1D_Tiny/PlatfIO_Conv1D_Tiny -e nucleo_f411re_Conv1D_Tiny -t upload
LSTM,WEMOS LOLIN32,firmwares/environment_lstm/PlatfIO_lstm,lolin32_lstm,COM6,pio run -d firmwares/environment_lstm/PlatfIO_lstm -e lolin32_lstm,pio run -d firmwares/environment_lstm/PlatfIO_lstm -e lolin32_lstm -t upload
LSTM,NUCLEO-F411RE,firmwares/environment_lstm/PlatfIO_lstm,nucleo_f411re_lstm,COM8,pio run -d firmwares/environment_lstm/PlatfIO_lstm -e nucleo_f411re_lstm,pio run -d firmwares/environment_lstm/PlatfIO_lstm -e nucleo_f411re_lstm -t upload
