datetime,T_out,T_in,H_out,H_in,__row_id_raw,hour,weekday,month,sin_hour,cos_hour,T_in_lag1,H_in_lag1,T_out_lag1,H_out_lag1,T_in_lag2,H_in_lag2,epoch
2019-01-03 07:00:00,27.78,27.76,84.00,63.93,9885,7.00,3,1,0.97,-0.26,27.85,63.95,27.78,79.00,27.94,63.97,1546498800
2019-01-03 08:00:00,27.78,28.07,84.00,64.17,9886,8.00,3,1,0.87,-0.50,27.76,63.93,27.78,84.00,27.85,63.95,1546502400
2019-01-03 09:00:00,27.78,28.17,79.00,64.57,9887,9.00,3,1,0.71,-0.71,28.07,64.17,27.78,84.00,27.76,63.93,1546506000
2019-01-03 10:00:00,27.78,28.20,74.00,64.81,9888,10.00,3,1,0.50,-0.87,28.17,64.57,27.78,79.00,28.07,64.17,1546509600
2019-01-03 11:00:00,27.22,28.36,79.00,65.39,9889,11.00,3,1,0.26,-0.97,28.20,64.81,27.78,74.00,28.17,64.57,1546513200
2019-01-03 12:00:00,27.22,28.54,79.00,66.12,9890,12.00,3,1,0.00,-1.00,28.36,65.39,27.22,79.00,28.20,64.81,1546516800
2019-01-03 13:00:00,27.78,28.59,74.00,66.54,9891,13.00,3,1,-0.26,-0.97,28.54,66.12,27.22,79.00,28.36,65.39,1546520400
2019-01-03 14:00:00,28.89,28.86,70.00,67.04,9892,14.00,3,1,-0.50,-0.87,28.59,66.54,27.78,74.00,28.54,66.12,1546524000
2019-01-03 15:00:00,30.00,28.82,70.00,67.43,9893,15.00,3,1,-0.71,-0.71,28.86,67.04,28.89,70.00,28.59,66.54,1546527600
2019-01-03 16:00:00,31.11,28.96,66.00,67.76,9894,16.00,3,1,-0.87,-0.50,28.82,67.43,30.00,70.00,28.86,67.04,1546531200
2019-01-03 17:00:00,32.22,28.92,66.00,67.96,9895,17.00,3,1,-0.97,-0.26,28.96,67.76,31.11,66.00,28.82,67.43,1546534800
2019-01-03 18:00:00,32.22,28.85,62.00,68.01,9896,18.00,3,1,-1.00,-0.00,28.92,67.96,32.22,66.00,28.96,67.76,1546538400
2019-01-03 19:00:00,32.22,28.85,62.00,68.09,9897,19.00,3,1,-0.97,0.26,28.85,68.01,32.22,62.00,28.92,67.96,1546542000
2019-01-03 20:00:00,32.22,28.81,62.00,68.07,9898,20.00,3,1,-0.87,0.50,28.85,68.09,32.22,62.00,28.85,68.01,1546545600
2019-01-03 21:00:00,32.22,28.85,62.00,68.06,9899,21.00,3,1,-0.71,0.71,28.81,68.07,32.22,62.00,28.85,68.09,1546549200
