idx,epoch,gt_Tin_true,gt_Hin_true,state_Tout_phys_raw,state_Hout_phys_raw,state_Tin_lag1_phys_raw,state_Hin_lag1_phys_raw,state_Tout_lag1_phys_raw,state_Hout_lag1_phys_raw,state_Tin_lag2_phys_raw,state_Hin_lag2_phys_raw,state_sin_hour,state_cos_hour,state_weekday,state_month,y_T_scaled,y_H_scaled,d_T_pred,d_H_pred,p_Tprev_phys,p_Hprev_phys,p_T_pred,p_H_pred
18,1546563600,28.95999908,67.53431702,30.00000000,55.00000000,28.87000084,67.50947571,31.11000061,55.00000000,28.71999931,67.74334717,0.25881904,0.96592581,4.00000000,1.00000000,0.55224913,0.54097873,0.00554328,0.00781125,28.87000084,67.50947571,28.87554359,67.51728821
19,1546567200,29.02000046,67.66596985,28.88999939,58.00000000,28.95999908,67.53431702,30.00000000,55.00000000,28.87000084,67.50947571,0.50000000,0.86602539,4.00000000,1.00000000,0.55224913,0.54097873,0.00554328,0.00781125,28.95999908,67.53431702,28.96554184,67.54212952
20,1546570800,29.05999947,67.78549194,28.88999939,62.00000000,29.02000046,67.66596985,28.88999939,58.00000000,28.95999908,67.53431702,0.70710677,0.70710677,4.00000000,1.00000000,0.55224913,0.54097873,0.00554328,0.00781125,29.02000046,67.66596985,29.02554321,67.67378235
21,1546574400,29.05999947,67.84905243,27.78000069,70.00000000,29.05999947,67.78549194,28.88999939,62.00000000,29.02000046,67.66596985,0.86602539,0.50000000,4.00000000,1.00000000,0.54097873,0.55224913,-0.01722294,0.02355717,29.05999947,67.78549194,29.04277611,67.80905151
22,1546578000,29.04999924,67.90113068,28.88999939,70.00000000,29.05999947,67.84905243,27.78000069,70.00000000,29.05999947,67.78549194,0.96592581,0.25881904,4.00000000,1.00000000,0.55224913,0.56351948,0.00554328,0.03930301,29.05999947,67.84905243,29.06554222,67.88835907
23,1546581600,29.04999924,67.89624023,28.88999939,74.00000000,29.04999924,67.90113068,28.88999939,70.00000000,29.05999947,67.84905243,1.00000000,0.00000000,4.00000000,1.00000000,0.54097873,0.56351948,-0.01722294,0.03930301,29.04999924,67.90113068,29.03277588,67.94043732
24,1546585200,29.02000046,67.81974030,27.78000069,74.00000000,29.04999924,67.89624023,28.88999939,74.00000000,29.04999924,67.90113068,0.96592581,-0.25881904,4.00000000,1.00000000,0.54097873,0.57478988,-0.01722294,0.05504893,29.04999924,67.89624023,29.03277588,67.95128632
25,1546588800,28.97999954,67.81496429,27.78000069,74.00000000,29.02000046,67.81974030,27.78000069,74.00000000,29.04999924,67.89624023,0.86602539,-0.50000000,4.00000000,1.00000000,0.55224913,0.58606029,0.00554328,0.07079484,29.02000046,67.81974030,29.02554321,67.89053345
26,1546592400,28.97999954,67.77856445,27.78000069,79.00000000,28.97999954,67.81496429,27.78000069,74.00000000,29.02000046,67.81974030,0.70710677,-0.70710677,4.00000000,1.00000000,0.54097873,0.58606029,-0.01722294,0.07079484,28.97999954,67.81496429,28.96277618,67.88575745
27,1546596000,29.12000084,67.75868225,27.78000069,79.00000000,28.97999954,67.77856445,27.78000069,79.00000000,28.97999954,67.81496429,0.50000000,-0.86602539,4.00000000,1.00000000,0.54097873,0.59733069,-0.01722294,0.08654077,28.97999954,67.77856445,28.96277618,67.86510468
28,1546599600,29.14999962,67.62519073,27.21999931,79.00000000,29.12000084,67.75868225,27.78000069,79.00000000,28.97999954,67.77856445,0.25881904,-0.96592581,4.00000000,1.00000000,0.55224913,0.58606029,0.00554328,0.07079484,29.12000084,67.75868225,29.12554359,67.82947540
29,1546603200,29.20999908,67.56477356,27.21999931,79.00000000,29.14999962,67.62519073,27.21999931,79.00000000,29.12000084,67.75868225,0.00000000,-1.00000000,4.00000000,1.00000000,0.55224913,0.59733069,0.00554328,0.08654077,29.14999962,67.62519073,29.15554237,67.71173096
30,1546606800,29.35000038,67.41719055,27.21999931,79.00000000,29.20999908,67.56477356,27.21999931,79.00000000,29.14999962,67.62519073,-0.25881904,-0.96592581,4.00000000,1.00000000,0.56351948,0.58606029,0.02830938,0.07079484,29.20999908,67.56477356,29.23830795,67.63556671
31,1546610400,29.50000000,67.37581635,28.88999939,74.00000000,29.35000038,67.41719055,27.21999931,79.00000000,29.20999908,67.56477356,-0.50000000,-0.86602539,4.00000000,1.00000000,0.56351948,0.58606029,0.02830938,0.07079484,29.35000038,67.41719055,29.37830925,67.48798370
32,1546614000,29.54999924,67.16495514,30.00000000,70.00000000,29.50000000,67.37581635,28.88999939,74.00000000,29.35000038,67.41719055,-0.70710677,-0.70710677,4.00000000,1.00000000,0.56351948,0.58606029,0.02830938,0.07079484,29.50000000,67.37581635,29.52830887,67.44660950
33,1546617600,29.60000038,66.89015961,31.11000061,62.00000000,29.54999924,67.16495514,30.00000000,70.00000000,29.50000000,67.37581635,-0.86602539,-0.50000000,4.00000000,1.00000000,0.56351948,0.58606029,0.02830938,0.07079484,29.54999924,67.16495514,29.57830811,67.23574829
